product_id,name,house,classification,severity,code,field,raw_value,normalized_value,problem,fix_in_rsupplyos,effect_on_recommendations
XERJOFF-ERBA-PURA,ERBA PURA,XERJOFF,contradictoria,high,gender_contradicts_description,fragrance.gender_profile vs fragrance.summary,lean_masculine,lean_masculine,"La descripción dice ""unisex"" pero gender_profile es ""lean_masculine"".",fragrance.gender_profile o fragrance.summary (uno de los dos está mal),"El badge de la tarjeta y el filtro dicen Hombre/Mujer mientras el texto dice unisex; el cliente ve una incoherencia y quien elige Unisex no la recibe como coincidencia directa."
XERJOFF-ERBA-PURA,ERBA PURA,XERJOFF,contradictoria,medium,climate_values_inside_occasions,fragrance.occasions,"[""cita"",""noche"",""fiesta"",""antro"",""frio""]","[""frio""]",El array de ocasiones contiene valores de clima (frio).,fragrance.occasions → fragrance.climates,"El normalizador los reencamina a clima para no puntuarlos como ocasión, pero el campo sigue mal en el backend."
XERJOFF-ERBA-PURA,ERBA PURA,XERJOFF,contradictoria,low,concentration_missing,concentration,,,Sin concentración (EDT / EDP / Parfum / Extrait / Elixir).,concentration,Dos productos con el mismo nombre base no se distinguen en la tarjeta ni en el buscador.
XERJOFF-NAXOS,NAXOS,XERJOFF,no_apta_para_alta_confianza,critical,gender_missing,fragrance.gender_profile,unknown,unknown,No hay ningún valor de género (ni gender ni gender_profile).,fragrance.gender_profile,"Excluida de TODA recomendación en la que el cliente elija Hombre, Mujer o Unisex; sólo aparece en el catálogo general."
XERJOFF-NAXOS,NAXOS,XERJOFF,no_apta_para_alta_confianza,low,concentration_missing,concentration,,,Sin concentración (EDT / EDP / Parfum / Extrait / Elixir).,concentration,Dos productos con el mismo nombre base no se distinguen en la tarjeta ni en el buscador.
PACO-RABANNE-ONE-MILLION-LUCKY,ONE MILLION LUCKY,PACO RABANNE,incompleta,low,concentration_missing,concentration,,,Sin concentración (EDT / EDP / Parfum / Extrait / Elixir).,concentration,Dos productos con el mismo nombre base no se distinguen en la tarjeta ni en el buscador.
JEAN-PAUL-GAULTIER-LE-MALE-ELIXIR,LE MALE,JEAN PAUL GAULTIER,no_apta_para_alta_confianza,critical,scores_missing,fragrance.scores,,{},"No hay ningún score (projection, intensity, longevity, office_safe, night_out, …).",fragrance.scores,"Sin datos de rendimiento no se puede afirmar ""que destaque"" ni ""discreto"": el producto no alcanza la confianza mínima y nunca recibe la etiqueta ""Nuestra recomendación""."
JEAN-PAUL-GAULTIER-LE-MALE-ELIXIR,LE MALE,JEAN PAUL GAULTIER,no_apta_para_alta_confianza,critical,occasions_absent,fragrance.occasions,[],[],"No hay ninguna ocasión, ni en occasions ni en los tags.",fragrance.occasions,"La dimensión de mayor peso (26/100) queda sin cobertura, lo que baja la confianza y normalmente deja al producto fuera del top."
JEAN-PAUL-GAULTIER-LE-MALE-ELIXIR,LE MALE,JEAN PAUL GAULTIER,no_apta_para_alta_confianza,high,climates_absent,fragrance.climates,[],[],No hay clima ni temporada.,fragrance.climates,La pregunta de clima no puede evaluarse: pierde 16/100 de cobertura.
JEAN-PAUL-GAULTIER-LE-MALE-ELIXIR,LE MALE,JEAN PAUL GAULTIER,no_apta_para_alta_confianza,medium,style_and_recommendation_tags_absent,fragrance.style_tags + fragrance.recommendation_tags,[],[],No hay style_tags ni recommendation_tags: falta toda la evidencia corroborativa.,fragrance.recommendation_tags,Se pierde toda la evidencia corroborativa: cada dimensión queda a media cobertura aunque tenga scores.
JEAN-PAUL-GAULTIER-LE-MALE-ELIXIR,LE MALE,JEAN PAUL GAULTIER,no_apta_para_alta_confianza,medium,moods_absent,fragrance.moods,[],[],"No hay ningún mood (moderno, juvenil, elegante, maduro, serio…).",fragrance.moods,"La afinidad por edad se queda sin su única fuente de vocabulario (juvenil, moderno, elegante, maduro, serio)."
DIOR-SAUVAGE-EDT,SAUVAGE,DIOR,no_apta_para_alta_confianza,critical,scores_missing,fragrance.scores,,{},"No hay ningún score (projection, intensity, longevity, office_safe, night_out, …).",fragrance.scores,"Sin datos de rendimiento no se puede afirmar ""que destaque"" ni ""discreto"": el producto no alcanza la confianza mínima y nunca recibe la etiqueta ""Nuestra recomendación""."
DIOR-SAUVAGE-EDT,SAUVAGE,DIOR,no_apta_para_alta_confianza,critical,occasions_absent,fragrance.occasions,[],[],"No hay ninguna ocasión, ni en occasions ni en los tags.",fragrance.occasions,"La dimensión de mayor peso (26/100) queda sin cobertura, lo que baja la confianza y normalmente deja al producto fuera del top."
DIOR-SAUVAGE-EDT,SAUVAGE,DIOR,no_apta_para_alta_confianza,high,climates_absent,fragrance.climates,[],[],No hay clima ni temporada.,fragrance.climates,La pregunta de clima no puede evaluarse: pierde 16/100 de cobertura.
DIOR-SAUVAGE-EDT,SAUVAGE,DIOR,no_apta_para_alta_confianza,medium,style_and_recommendation_tags_absent,fragrance.style_tags + fragrance.recommendation_tags,[],[],No hay style_tags ni recommendation_tags: falta toda la evidencia corroborativa.,fragrance.recommendation_tags,Se pierde toda la evidencia corroborativa: cada dimensión queda a media cobertura aunque tenga scores.
DIOR-SAUVAGE-EDT,SAUVAGE,DIOR,no_apta_para_alta_confianza,medium,moods_absent,fragrance.moods,[],[],"No hay ningún mood (moderno, juvenil, elegante, maduro, serio…).",fragrance.moods,"La afinidad por edad se queda sin su única fuente de vocabulario (juvenil, moderno, elegante, maduro, serio)."
RASASSI-HAWAS-ICE,HAWAS ICE,RASASSI,no_apta_para_alta_confianza,critical,scores_missing,fragrance.scores,,{},"No hay ningún score (projection, intensity, longevity, office_safe, night_out, …).",fragrance.scores,"Sin datos de rendimiento no se puede afirmar ""que destaque"" ni ""discreto"": el producto no alcanza la confianza mínima y nunca recibe la etiqueta ""Nuestra recomendación""."
RASASSI-HAWAS-ICE,HAWAS ICE,RASASSI,no_apta_para_alta_confianza,critical,occasions_absent,fragrance.occasions,[],[],"No hay ninguna ocasión, ni en occasions ni en los tags.",fragrance.occasions,"La dimensión de mayor peso (26/100) queda sin cobertura, lo que baja la confianza y normalmente deja al producto fuera del top."
